threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.74,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.75,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.76,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.77,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.78,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.79,0.5287356321839081,0.6628571428571428,0.116,0.1974468085106383,942,59,884,116
0.8,0.5287356321839081,0.6628571428571428,0.116,0.1974468085106383,942,59,884,116
0.81,0.5287356321839081,0.6628571428571428,0.116,0.1974468085106383,942,59,884,116
0.8200000000000001,0.5287356321839081,0.6628571428571428,0.116,0.1974468085106383,942,59,884,116
0.8300000000000001,0.5287356321839081,0.6628571428571428,0.116,0.1974468085106383,942,59,884,116
0.8400000000000001,0.5122438780609695,1.0,0.024,0.046875,1001,0,976,24
0.85,0.5122438780609695,1.0,0.024,0.046875,1001,0,976,24
0.86,0.5122438780609695,1.0,0.024,0.046875,1001,0,976,24
0.87,0.5122438780609695,1.0,0.024,0.046875,1001,0,976,24
0.88,0.5122438780609695,1.0,0.024,0.046875,1001,0,976,24
0.89,0.5122438780609695,1.0,0.024,0.046875,1001,0,976,24
0.9,0.5122438780609695,1.0,0.024,0.046875,1001,0,976,24
0.91,0.5122438780609695,1.0,0.024,0.046875,1001,0,976,24
0.92,0.5122438780609695,1.0,0.024,0.046875,1001,0,976,24
0.93,0.5122438780609695,1.0,0.024,0.046875,1001,0,976,24
0.9400000000000001,0.5122438780609695,1.0,0.024,0.046875,1001,0,976,24
0.9500000000000001,0.5122438780609695,1.0,0.024,0.046875,1001,0,976,24
0.9600000000000001,0.5072463768115942,1.0,0.014,0.027613412228796843,1001,0,986,14
0.97,0.5002498750624688,0.0,0.0,0.0,1001,0,1000,0
0.98,0.5002498750624688,0.0,0.0,0.0,1001,0,1000,0
0.99,0.5002498750624688,0.0,0.0,0.0,1001,0,1000,0
